Project name, date added(YYYY-MM-DD), link to YML file
CCAT papercrete clayslip demo wall,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CCAT%20papercrete%20clayslip%20demo%20wall.yml
CNC Router Lubrication and Chip Clearing,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-CNC%20Router%20Lubrication%20and%20Chip%20Clearing.yml
Caliper,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Caliper.yml
Can Opener,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Can%20Opener.yml
Car Charging Port,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Car%20Charging%20Port.yml
Car Heater-Vent Hanger,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Car%20Heater-Vent%20Hanger.yml
Carriage-Connecting Rod Sound Dampener.,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Carriage-Connecting%20Rod%20Sound%20Dampener..yml
Cassava Press,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Cassava%20Press.yml
Changeable Garden Tool Heads,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Changeable%20Garden%20Tool%20Heads.yml
Charcoal Holder Pen,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Charcoal%20Holder%20Pen.yml
Charcoal Pen,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Charcoal%20Pen.yml
Chicken Feed Holder,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Chicken%20Feed%20Holder.yml
Chicken FeederWaterer w adapter,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Chicken%20FeederWaterer%20w%20adapter.yml
Chicken Tractor (Optimized Construction and Design),2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Chicken%20Tractor%20(Optimized%20Construction%20and%20Design).yml
Chris's ENGR305 Solar Food Dehydrator,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Chris's%20ENGR305%20Solar%20Food%20Dehydrator.yml
Chujio la maji la gharama nafuu,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Chujio%20la%20maji%20la%20gharama%20nafuu.yml
Clamps with gearing system,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Clamps%20with%20gearing%20system.yml
Club foot Brace for Infants,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Club%20foot%20Brace%20for%20Infants.yml
Commode,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Commode.yml
Community Comment Box,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Community%20Comment%20Box.yml
Composite Materials Resin Mixing & Pouring Container,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Composite%20Materials%20Resin%20Mixing%20&%20Pouring%20Container.yml
Compost Toilet Hinge,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Compost%20Toilet%20Hinge.yml
Concrete trowel,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Concrete%20trowel.yml
Contoured Spigot for 5-gallon buckets,2020-03-26,https://openknowhow.appropedia.org/manifests/okh-Contoured%20Spigot%20for%205-gallon%20buckets.yml
